id,make,model,year,horsepower,torque,engine_make,engine_capacity,engine_cylinders,engine_modifier
2009 Audi A3 3.2,Audi,Audi A3,2009,250,236,Audi,3.2,6,
2009 Audi A3 2.0 T AT,Audi,Audi A3,2009,200,207,Audi,2.0,4,Turbo
2009 Audi A3 2.0 T,Audi,Audi A3,2009,200,207,Audi,2.0,4,Turbo
2009 Audi A3 2.0 T Quattro,Audi,Audi A3,2009,200,207,Audi,2.0,4,Turbo
2009 Audi A5 3.2,Audi,Audi A5,2009,265,243,Audi,3.2,6,
2009 Audi A5 3.2 AT,Audi,Audi A5,2009,265,243,Audi,3.2,6,
2009 Audi Q7 4.2,Audi,Audi Q7,2009,350,325,Audi,4.2,8,
2009 Audi Q7 3.6,Audi,Audi Q7,2009,280,266,Audi,3.6,6,
2009 Audi A4 Sedan 2.0 T Quattro,Audi,Audi A4 Sedan,2009,211,258,Audi,2.0,4,Turbo
2009 Audi A4 Sedan 2.0 T Quattro AT,Audi,Audi A4 Sedan,2009,211,258,Audi,2.0,4,Turbo
2009 Audi A4 Sedan 3.2,Audi,Audi A4 Sedan,2009,265,243,Audi,3.2,6,
2012 Acura TL,Acura,Acura TL,2012,280,254,Acura,3.5,6,
2012 Acura TL SH-AWD,Acura,Acura TL,2012,305,273,Acura,3.7,6,
2010 BMW X5 M SUV,BMW,BMW X5,2010,555,500,BMW,4.4,8,
2011 BMW X5 M SUV,BMW,BMW X5,2011,555,500,BMW,4.4,8,
2010 BMW X6 M,BMW,BMW X6,2010,555,500,BMW,4.4,8,
2011 BMW X6 M,BMW,BMW X6,2011,555,500,BMW,4.4,8,
2012 Chevrolet Colorado Work Truck,Chevrolet,Chevrolet Colorado,2012,185,190,Chevrolet,2.9,4,
2012 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,Chevrolet Colorado,2012,185,190,Chevrolet,2.9,4,
2012 Chevrolet Colorado Crew Cab 1LT,Chevrolet,Chevrolet Colorado,2012,185,190,Chevrolet,2.9,4,
2011 Chevrolet Colorado Work Truck,Chevrolet,Chevrolet Colorado,2011,185,190,Chevrolet,2.9,4,
2011 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,Chevrolet Colorado,2011,185,190,Chevrolet,2.9,4,
2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet,Chevrolet Colorado,2011,185,190,Chevrolet,2.9,4,
2010 Chevrolet Colorado Work Truck,Chevrolet,Chevrolet Colorado,2010,185,190,Chevrolet,2.9,4,
2010 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,Chevrolet Colorado,2010,185,190,Chevrolet,2.9,4,
2010 Chevrolet Colorado Crew Cab LT1,Chevrolet,Chevrolet Colorado,2010,185,190,Chevrolet,2.9,4,
2012 Chevrolet Express LS 1500,Chevrolet,Chevrolet Express,2012,310,334,Chevrolet,5.3,8,FFV
2012 Chevrolet Express LS 1500 AWD,Chevrolet,Chevrolet Express,2012,310,334,Chevrolet,5.3,8,FFV
2011 Chevrolet Express LS 1500,Chevrolet,Chevrolet Express,2011,310,334,Chevrolet,5.3,8,FFV
2011 Chevrolet Express LS 1500 AWD,Chevrolet,Chevrolet Express,2011,310,334,Chevrolet,5.3,8,FFV
2011 Chevrolet Express LS 2500,Chevrolet,Chevrolet Express,2011,280,295,Chevrolet,4.8,8,FFV
