id,car_id,driveline
0,2009 Audi A3 3.2,All-wheel drive
1,2009 Audi A3 2.0 T AT,Front-wheel drive
2,2009 Audi A3 2.0 T,Front-wheel drive
3,2009 Audi A3 2.0 T Quattro,All-wheel drive
5,2009 Audi A5 3.2,All-wheel drive
6,2009 Audi A5 3.2 AT,All-wheel drive
7,2009 Audi Q7 4.2,All-wheel drive
8,2009 Audi Q7 3.6,All-wheel drive
9,2009 Audi A4 Sedan 2.0 T Quattro,All-wheel drive
10,2009 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive
11,2009 Audi A4 Sedan 3.2,All-wheel drive
12,2012 Acura TL,Front-wheel drive
13,2012 Acura TL SH-AWD,All-wheel drive
14,2010 BMW X5 M SUV,All-wheel drive
15,2011 BMW X5 M SUV,All-wheel drive
16,2010 BMW X6 M,All-wheel drive
17,2011 BMW X6 M,All-wheel drive
18,2012 Chevrolet Colorado Work Truck,Rear-wheel drive
19,2012 Chevrolet Colorado Extended Cab Work Truck,Rear-wheel drive
20,2012 Chevrolet Colorado Crew Cab 1LT,Rear-wheel drive
21,2011 Chevrolet Colorado Work Truck,Rear-wheel drive
22,2011 Chevrolet Colorado Extended Cab Work Truck,Rear-wheel drive
23,2011 Chevrolet Colorado Crew Cab 1LT,Rear-wheel drive
24,2010 Chevrolet Colorado Work Truck,Rear-wheel drive
25,2010 Chevrolet Colorado Extended Cab Work Truck,Rear-wheel drive
26,2010 Chevrolet Colorado Crew Cab LT1,Rear-wheel drive
27,2012 Chevrolet Express LS 1500,Rear-wheel drive
28,2012 Chevrolet Express LS 1500 AWD,All-wheel drive
29,2011 Chevrolet Express LS 1500,Rear-wheel drive
30,2011 Chevrolet Express LS 1500 AWD,All-wheel drive
31,2011 Chevrolet Express LS 2500,Rear-wheel drive
32,2011 Chevrolet Express LS 2500 6.0L,Rear-wheel drive
33,2010 Chevrolet Express LS 1500,Rear-wheel drive
34,2010 Chevrolet Express LS 1500 AWD,All-wheel drive
35,2011 Chevrolet Silverado 1500 Work Truck,Rear-wheel drive
36,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Rear-wheel drive
37,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Rear-wheel drive
38,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Rear-wheel drive
39,2010 Chevrolet Silverado 1500 Work Truck,Rear-wheel drive
40,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Rear-wheel drive
41,2011 Nissan 370Z NISMO,Rear-wheel drive
42,2010 Nissan 370Z NISMO,Rear-wheel drive
43,2009 Nissan 370Z NISMO,Rear-wheel drive
44,2011 Volvo C30 T5,Front-wheel drive
45,2011 Volvo C30 T5 AT,Front-wheel drive
46,2010 Volvo C30 T5 AT,Front-wheel drive
47,2010 Volvo C30 T5,Front-wheel drive
48,2010 Bentley Brooklands,Rear-wheel drive
49,2012 Bentley Continental Supersports Convertible,All-wheel drive
50,2012 Bentley Continental Supersports Coupe,All-wheel drive
51,2011 Bentley Continental Supersports Convertible,All-wheel drive
52,2010 Bentley Continental Supersports,All-wheel drive
53,2012 Bentley Continental Flying Spur,All-wheel drive
54,2012 Bentley Continental Flying Spur Speed,All-wheel drive
55,2011 Bentley Continental Flying Spur Speed,All-wheel drive
56,2010 Bentley Continental Flying Spur Speed,All-wheel drive
57,2010 Bentley Continental Flying Spur,All-wheel drive
58,2011 Volvo C70 T5,Front-wheel drive
59,2010 Volvo C70 T5,Front-wheel drive
60,2010 Volvo C70 T5 AT,Front-wheel drive
61,2010 Volvo S40 2.4i,Front-wheel drive
62,2010 Volvo S40 R-Design,Front-wheel drive
63,2011 Volvo S40 T5,Front-wheel drive
64,2010 Volvo S40 R-Design AWD,All-wheel drive
65,2012 Volvo S60 T5,Front-wheel drive
66,2012 Volvo S60 T6 AWD,All-wheel drive
67,2012 Volvo S60 R-Design,All-wheel drive
68,2011 Volvo S60 T6 AWD,All-wheel drive
69,2011 Volvo S80 3.2,Front-wheel drive
70,2010 Volvo S80 V8,All-wheel drive
71,2010 Volvo S80 T6 AWD,All-wheel drive
72,2010 Volvo S80 3.2,Front-wheel drive
73,2011 Volvo V50 T5,Front-wheel drive
74,2010 Volvo V50 R-Design,All-wheel drive
75,2010 Volvo V50 2.4i,Front-wheel drive
76,2011 Volvo XC60 T6 AWD,All-wheel drive
77,2011 Volvo XC60 3.2,Front-wheel drive
78,2010 Volvo XC60 T6 AWD,All-wheel drive
79,2010 Volvo XC60 3.2,Front-wheel drive
80,2011 Volvo XC70 3.2,Front-wheel drive
81,2011 Volvo XC70 T6 AWD,All-wheel drive
82,2010 Volvo XC70 T6 AWD,All-wheel drive
83,2010 Volvo XC70 3.2,All-wheel drive
84,2011 Toyota 4Runner SR5,Rear-wheel drive
85,2011 Toyota 4Runner SR5 4WD,All-wheel drive
86,2011 Toyota 4Runner Trail,All-wheel drive
87,2011 Toyota 4Runner Limited,Rear-wheel drive
88,2011 Toyota 4Runner  Limited 4WD,All-wheel drive
89,2011 Volvo XC90 3.2,Front-wheel drive
90,2011 Volvo XC90 V8,All-wheel drive
91,2010 Volvo XC90 3.2,Front-wheel drive
92,2010 Volvo XC90 V8,All-wheel drive
93,2010 Volvo V70 3.2,Front-wheel drive
94,2010 Toyota 4Runner SR5,Rear-wheel drive
95,2010 Toyota 4Runner SR5 V6,Rear-wheel drive
96,2010 Toyota 4Runner SR5 V6 4WD,All-wheel drive
97,2010 Toyota 4Runner Trail,All-wheel drive
98,2010 Toyota 4Runner Limited,Rear-wheel drive
99,2010 Toyota 4Runner Limited 4WD,All-wheel drive
100,2012 Audi A3 2.0 T,Front-wheel drive
101,2010 Honda Accord EX-L V-6 Coup,Front-wheel drive
102,2010 Honda Accord EX Coup AT,Front-wheel drive
103,2010 Honda Accord EX-L Coup,Front-wheel drive
104,2010 Honda Accord EX-L Coup AT,Front-wheel drive
105,2010 Honda Accord EX-L V-6 Coup AT,Front-wheel drive
106,2010 Honda Accord EX Coup,Front-wheel drive
107,2010 Honda Accord LX-S Coup AT,Front-wheel drive
108,2010 Honda Accord LX-S Coup,Front-wheel drive
109,2011 Nissan 370Z Roadster,Rear-wheel drive
110,2011 Nissan 370Z Roadster AT,Rear-wheel drive
111,2011 Nissan 370Z Touring Roadster,Rear-wheel drive
112,2011 Nissan 370Z Touring Roadster AT,Rear-wheel drive
113,2010 Nissan 370Z Touring Roadster,Rear-wheel drive
114,2010 Nissan 370Z Roadster,Rear-wheel drive
115,2010 Nissan 370Z Roadster AT,Rear-wheel drive
116,2010 Nissan 370Z Touring Roadster AT,Rear-wheel drive
117,2011 Audi A3 2.0 T,Front-wheel drive
118,2011 Nissan 370Z Coupe,Rear-wheel drive
119,2011 Nissan 370Z Touring Coupe,Rear-wheel drive
120,2011 Nissan 370Z Touring Coupe AT,Rear-wheel drive
122,2010 Audi A3 2.0 T,Front-wheel drive
123,2010 Nissan 370Z Touring Coupe AT,Rear-wheel drive
124,2010 Nissan 370Z Coupe,Rear-wheel drive
125,2010 Nissan 370Z Touring Coupe,Rear-wheel drive
126,2010 Nissan 370Z Coupe AT,Rear-wheel drive
127,2012 Audi A4 Sedan 2.0 T Quattro,All-wheel drive
128,2012 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive
129,2011 Audi A4 Sedan 2.0 T Quattro,All-wheel drive
130,2011 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive
131,2012 Ford Fiesta S Sedan,Front-wheel drive
132,2012 Ford Fiesta SE Sedan,Front-wheel drive
133,2012 Ford Fiesta SEL Sedan,Front-wheel drive
134,2011 Ford Fiesta Sedan S,Front-wheel drive
135,2011 Ford Fiesta Sedan SE,Front-wheel drive
136,2011 Ford Fiesta Sedan SEL,Front-wheel drive
137,2011 Volvo C30 R-Design AT,Front-wheel drive
138,2011 Volvo C30 R-Design,Front-wheel drive
139,2010 Volvo C30 R-Design AT,Front-wheel drive
140,2010 Volvo C30 R-Design,Front-wheel drive
141,2010 Audi A4 Sedan 2.0 T Quattro AT,All-wheel drive
142,2010 Audi A4 Sedan 2.0 T Quattro,All-wheel drive
143,2010 Volvo S40 2.4i AT,Front-wheel drive
144,2010 Volvo S40 R-Design AT AWD,All-wheel drive
145,2012 Audi A4 Avant 2.0 T,All-wheel drive
146,2011 Audi A4 Avant 2.0 T,All-wheel drive
147,2010 Audi A4 Avant 2.0 T,All-wheel drive
148,2011 Honda Accord EX Coup,Front-wheel drive
149,2011 Honda Accord LX-S Coup AT,Front-wheel drive
150,2011 Honda Accord EX-L V-6 Coup,Front-wheel drive
151,2011 Honda Accord LX-S Coup,Front-wheel drive
152,2011 Honda Accord EX-L V-6 Coup AT,Front-wheel drive
153,2011 Honda Accord EX Coup AT,Front-wheel drive
154,2011 Honda Accord EX-L Coup,Front-wheel drive
155,2012 Ford Fiesta SE Hatchback,Front-wheel drive
156,2012 Ford Fiesta SES Hatchback,Front-wheel drive
157,2011 Ford Fiesta Hatchback SE,Front-wheel drive
158,2011 Ford Fiesta Hatchback SES,Front-wheel drive
159,2010 Honda Accord LX Sedan,Front-wheel drive
160,2010 Honda Accord LX Sedan AT,Front-wheel drive
161,2010 Honda Accord LX-P Sedan,Front-wheel drive
162,2010 Honda Accord LX-P Sedan AT,Front-wheel drive
163,2010 Honda Accord EX Sedan,Front-wheel drive
164,2010 Honda Accord EX Sedan AT,Front-wheel drive
165,2010 Honda Accord EX-L Sedan,Front-wheel drive
166,2010 Honda Accord EX-L Sedan AT,Front-wheel drive
167,2010 Honda Accord EX V-6 Sedan,Front-wheel drive
168,2011 Toyota Avalon,Front-wheel drive
169,2011 Toyota Avalon Limited,Front-wheel drive
170,2009 Nissan 370Z Coupe AT,Rear-wheel drive
171,2009 Nissan 370Z Touring Coupe AT,Rear-wheel drive
172,2009 Nissan 370Z Touring Coupe,Rear-wheel drive
173,2009 Nissan 370Z Coupe,Rear-wheel drive
174,2010 Toyota Avalon XL,Front-wheel drive
175,2010 Toyota Avalon XLS,Front-wheel drive
176,2010 Toyota Avalon Limited,Front-wheel drive
177,2011 Toyota Camry,Front-wheel drive
178,2011 Toyota Camry AT,Front-wheel drive
179,2011 Toyota Camry LE,Front-wheel drive
180,2011 Toyota Camry LE AT,Front-wheel drive
181,2011 Toyota Camry LE V6,Front-wheel drive
182,2011 Toyota Camry SE,Front-wheel drive
183,2011 Toyota Camry SE AT,Front-wheel drive
184,2011 Toyota Camry SE V6,Front-wheel drive
185,2011 Toyota Camry XLE,Front-wheel drive
186,2011 Toyota Camry XLE V6,Front-wheel drive
187,2012 Ford Focus S Sedan,Front-wheel drive
188,2012 Ford Focus SE Sedan,Front-wheel drive
189,2011 Ford Focus Sedan S,Front-wheel drive
190,2011 Ford Focus Sedan S AT,Front-wheel drive
191,2011 Ford Focus Sedan SE,Front-wheel drive
192,2011 Ford Focus Sedan SE AT,Front-wheel drive
193,2011 Ford Focus Sedan SES,Front-wheel drive
194,2011 Ford Focus Sedan SES AT,Front-wheel drive
195,2011 Ford Focus Sedan SEL,Front-wheel drive
196,2010 Ford Focus Sedan S,Front-wheel drive
197,2010 Ford Focus Sedan S AT,Front-wheel drive
198,2010 Ford Focus Sedan SE,Front-wheel drive
199,2010 Ford Focus Sedan SE AT,Front-wheel drive
200,2010 Ford Focus Sedan SES,Front-wheel drive
201,2010 Ford Focus Sedan SES AT,Front-wheel drive
202,2010 Ford Focus Sedan SEL,Front-wheel drive
203,2010 Ford Focus Sedan SEL AT,Front-wheel drive
204,2011 Nissan Altima Coupe 2.5 S,Front-wheel drive
205,2011 Nissan Altima Coupe 3.5 SR,Front-wheel drive
206,2012 Volvo S80 T6 AWD,All-wheel drive
207,2012 Volvo S80 3.2,Front-wheel drive
208,2012 Volvo XC60 T6 AWD R-Design,All-wheel drive
209,2012 Volvo XC60 3.2,Front-wheel drive
210,2012 Volvo XC60 T6 AWD,All-wheel drive
211,2012 Volvo XC70 T6 AWD,All-wheel drive
212,2012 Volvo XC70 3.2,Front-wheel drive
213,2012 Volvo XC90 3.2,Front-wheel drive
214,2012 Volvo XC90 3.2 R-Design,Front-wheel drive
215,2010 Nissan Altima Coupe 2.5 S,Front-wheel drive
216,2010 Nissan Altima Coupe 3.5 SR,Front-wheel drive
217,2010 Toyota Camry,Front-wheel drive
218,2010 Toyota Camry  AT,Front-wheel drive
219,2010 Toyota Camry LE,Front-wheel drive
220,2010 Toyota Camry LE AT,Front-wheel drive
221,2010 Toyota Camry LE V6,Front-wheel drive
222,2010 Toyota Camry SE,Front-wheel drive
223,2010 Toyota Camry SE AT,Front-wheel drive
224,2010 Toyota Camry SE V6,Front-wheel drive
225,2010 Toyota Camry XLE,Front-wheel drive
226,2010 Toyota Camry XLE V6,Front-wheel drive
227,2010 Volvo XC90  R-Design,Front-wheel drive
228,2011 Volvo XC90 R-Design,Front-wheel drive
229,2010 Volvo XC60 T6 R-Design,All-wheel drive
230,2011 Volvo XC60 T6 R-Design,All-wheel drive
231,2011 Volvo XC60 3.2 R-Design,Front-wheel drive
232,2010 Volvo V50 R-Design AT,All-wheel drive
233,2011 Volvo V50 R-Design,Front-wheel drive
234,2012 Bentley Continental GT,All-wheel drive
235,2010 Bentley Continental GT,All-wheel drive
236,2010 Bentley Continental GT Speed,All-wheel drive
237,2010 Ford Focus Coupe SE,Front-wheel drive
238,2010 Ford Focus Coupe SE AT,Front-wheel drive
239,2010 Ford Focus Coupe SES,Front-wheel drive
240,2010 Ford Focus Coupe SES AT,Front-wheel drive
241,2011 Bentley Continental GTC Speed,All-wheel drive
242,2010 Bentley Continental GTC Speed,All-wheel drive
243,2010 Bentley Continental GTC,All-wheel drive
244,2010 Bentley Azure T,Rear-wheel drive
245,2011 Toyota Corolla,Front-wheel drive
246,2011 Toyota Corolla AT,Front-wheel drive
247,2011 Toyota Corolla LE,Front-wheel drive
248,2011 Toyota Corolla S,Front-wheel drive
249,2011 Toyota Corolla S AT,Front-wheel drive
250,2010 Rolls-Royce Ghost,Rear-wheel drive
251,2011 Audi A5 Cabriolet 2.0 T Quattro,All-wheel drive
252,2010 Audi A5 Cabriolet 2.0 T Quattro,All-wheel drive
253,2010 Rolls-Royce Phantom Sedan,Rear-wheel drive
254,2010 Rolls-Royce Phantom Sedan EWB,Rear-wheel drive
255,2012 Audi A5 Coupe 2.0 T,All-wheel drive
256,2012 Audi A5 Coupe 2.0 T AT,All-wheel drive
