id,car_id,fuel_type
0,2009 Audi A3 3.2,Gasoline
1,2009 Audi A3 2.0 T AT,Gasoline
2,2009 Audi A3 2.0 T,Gasoline
3,2009 Audi A3 2.0 T Quattro,Gasoline
5,2009 Audi A5 3.2,Gasoline
6,2009 Audi A5 3.2 AT,Gasoline
7,2009 Audi Q7 4.2,Gasoline
8,2009 Audi Q7 3.6,Gasoline
9,2009 Audi A4 Sedan 2.0 T Quattro,Gasoline
10,2009 Audi A4 Sedan 2.0 T Quattro AT,Gasoline
11,2009 Audi A4 Sedan 3.2,Gasoline
12,2012 Acura TL,Gasoline
13,2012 Acura TL SH-AWD,Gasoline
14,2010 BMW X5 M SUV,Gasoline
15,2011 BMW X5 M SUV,Gasoline
16,2010 BMW X6 M,Gasoline
17,2011 BMW X6 M,Gasoline
18,2012 Chevrolet Colorado Work Truck,Gasoline
19,2012 Chevrolet Colorado Extended Cab Work Truck,Gasoline
20,2012 Chevrolet Colorado Crew Cab 1LT,Gasoline
21,2011 Chevrolet Colorado Work Truck,Gasoline
22,2011 Chevrolet Colorado Extended Cab Work Truck,Gasoline
23,2011 Chevrolet Colorado Crew Cab 1LT,Gasoline
24,2010 Chevrolet Colorado Work Truck,Gasoline
25,2010 Chevrolet Colorado Extended Cab Work Truck,Gasoline
26,2010 Chevrolet Colorado Crew Cab LT1,Gasoline
27,2012 Chevrolet Express LS 1500,Gasoline
28,2012 Chevrolet Express LS 1500 AWD,E85
29,2011 Chevrolet Express LS 1500,Gasoline
30,2011 Chevrolet Express LS 1500 AWD,Gasoline
31,2011 Chevrolet Express LS 2500,E85
32,2011 Chevrolet Express LS 2500 6.0L,E85
33,2010 Chevrolet Express LS 1500,E85
34,2010 Chevrolet Express LS 1500 AWD,Gasoline
35,2011 Chevrolet Silverado 1500 Work Truck,Gasoline
36,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Gasoline
37,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Gasoline
38,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Gasoline
39,2010 Chevrolet Silverado 1500 Work Truck,Gasoline
40,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Gasoline
41,2011 Nissan 370Z NISMO,Gasoline
42,2010 Nissan 370Z NISMO,Gasoline
43,2009 Nissan 370Z NISMO,Gasoline
44,2011 Volvo C30 T5,Gasoline
45,2011 Volvo C30 T5 AT,Gasoline
46,2010 Volvo C30 T5 AT,Gasoline
47,2010 Volvo C30 T5,Gasoline
48,2010 Bentley Brooklands,Gasoline
49,2012 Bentley Continental Supersports Convertible,E85
50,2012 Bentley Continental Supersports Coupe,E85
51,2011 Bentley Continental Supersports Convertible,E85
52,2010 Bentley Continental Supersports,Gasoline
53,2012 Bentley Continental Flying Spur,E85
54,2012 Bentley Continental Flying Spur Speed,Gasoline
55,2011 Bentley Continental Flying Spur Speed,Gasoline
56,2010 Bentley Continental Flying Spur Speed,Gasoline
57,2010 Bentley Continental Flying Spur,Gasoline
58,2011 Volvo C70 T5,Gasoline
59,2010 Volvo C70 T5,Gasoline
60,2010 Volvo C70 T5 AT,Gasoline
61,2010 Volvo S40 2.4i,Gasoline
62,2010 Volvo S40 R-Design,Gasoline
63,2011 Volvo S40 T5,Gasoline
64,2010 Volvo S40 R-Design AWD,Gasoline
65,2012 Volvo S60 T5,Gasoline
66,2012 Volvo S60 T6 AWD,Gasoline
67,2012 Volvo S60 R-Design,Gasoline
68,2011 Volvo S60 T6 AWD,Gasoline
69,2011 Volvo S80 3.2,Gasoline
70,2010 Volvo S80 V8,Gasoline
71,2010 Volvo S80 T6 AWD,Gasoline
72,2010 Volvo S80 3.2,Gasoline
73,2011 Volvo V50 T5,Gasoline
74,2010 Volvo V50 R-Design,Gasoline
75,2010 Volvo V50 2.4i,Gasoline
76,2011 Volvo XC60 T6 AWD,Gasoline
77,2011 Volvo XC60 3.2,Gasoline
78,2010 Volvo XC60 T6 AWD,Gasoline
79,2010 Volvo XC60 3.2,Gasoline
80,2011 Volvo XC70 3.2,Gasoline
81,2011 Volvo XC70 T6 AWD,Gasoline
82,2010 Volvo XC70 T6 AWD,Gasoline
83,2010 Volvo XC70 3.2,Gasoline
84,2011 Toyota 4Runner SR5,Gasoline
85,2011 Toyota 4Runner SR5 4WD,Gasoline
86,2011 Toyota 4Runner Trail,Gasoline
87,2011 Toyota 4Runner Limited,Gasoline
88,2011 Toyota 4Runner  Limited 4WD,Gasoline
89,2011 Volvo XC90 3.2,Gasoline
90,2011 Volvo XC90 V8,Gasoline
91,2010 Volvo XC90 3.2,Gasoline
92,2010 Volvo XC90 V8,Gasoline
93,2010 Volvo V70 3.2,Gasoline
94,2010 Toyota 4Runner SR5,Gasoline
95,2010 Toyota 4Runner SR5 V6,Gasoline
