car_id,city_mpg,highway_mpg
2009 Audi A3 3.2,18,25
2009 Audi A3 2.0 T AT,22,28
2009 Audi A3 2.0 T,21,30
2009 Audi A3 2.0 T Quattro,21,28
2009 Audi A5 3.2,16,27
2009 Audi A5 3.2 AT,17,26
2009 Audi Q7 4.2,13,18
2009 Audi Q7 3.6,14,20
2009 Audi A4 Sedan 2.0 T Quattro,22,30
2009 Audi A4 Sedan 2.0 T Quattro AT,21,27
2009 Audi A4 Sedan 3.2,17,26
2012 Acura TL,20,29
2012 Acura TL SH-AWD,18,26
2010 BMW X5 M SUV,12,17
2011 BMW X5 M SUV,12,17
2010 BMW X6 M,12,17
2011 BMW X6 M,12,17
2012 Chevrolet Colorado Work Truck,18,25
2012 Chevrolet Colorado Extended Cab Work Truck,18,25
2012 Chevrolet Colorado Crew Cab 1LT,18,25
2011 Chevrolet Colorado Work Truck,18,25
2011 Chevrolet Colorado Extended Cab Work Truck,18,25
2011 Chevrolet Colorado Crew Cab 1LT,18,25
2010 Chevrolet Colorado Work Truck,18,25
2010 Chevrolet Colorado Extended Cab Work Truck,20,26
2010 Chevrolet Colorado Crew Cab LT1,18,25
2012 Chevrolet Express LS 1500,13,18
2012 Chevrolet Express LS 1500 AWD,9,12
2011 Chevrolet Express LS 1500,13,17
2011 Chevrolet Express LS 1500 AWD,13,17
2011 Chevrolet Express LS 2500,8,12
2011 Chevrolet Express LS 2500 6.0L,8,12
2010 Chevrolet Express LS 1500,10,13
2010 Chevrolet Express LS 1500 AWD,13,17
2011 Chevrolet Silverado 1500 Work Truck,15,20
2011 Chevrolet Silverado 1500 Crew Cab Work Truck,14,19
2011 Chevrolet Silverado 1500 Extended Cab Work Truck,15,20
2010 Chevrolet Silverado 1500 Extended Cab Work Truck,15,20
2010 Chevrolet Silverado 1500 Work Truck,15,20
2010 Chevrolet Silverado 1500 Crew Cab Work Truck,14,19
2011 Nissan 370Z NISMO,18,26
2010 Nissan 370Z NISMO,18,26
2009 Nissan 370Z NISMO,18,26
2011 Volvo C30 T5,21,29
2011 Volvo C30 T5 AT,21,30
2010 Volvo C30 T5 AT,21,30
2010 Volvo C30 T5,21,29
2010 Bentley Brooklands,9,15
2012 Bentley Continental Supersports Convertible,8,14
2012 Bentley Continental Supersports Coupe,8,14
2011 Bentley Continental Supersports Convertible,8,14
2010 Bentley Continental Supersports,12,19
2012 Bentley Continental Flying Spur,8,13
2012 Bentley Continental Flying Spur Speed,11,19
2011 Bentley Continental Flying Spur Speed,10,17
2010 Bentley Continental Flying Spur Speed,10,17
2010 Bentley Continental Flying Spur,10,17
2011 Volvo C70 T5,19,28
2010 Volvo C70 T5,20,28
2010 Volvo C70 T5 AT,19,28
2010 Volvo S40 2.4i,21,29
2010 Volvo S40 R-Design,21,30
2011 Volvo S40 T5,21,30
2010 Volvo S40 R-Design AWD,20,27
2012 Volvo S60 T5,20,30
2012 Volvo S60 T6 AWD,18,26
2012 Volvo S60 R-Design,18,26
2011 Volvo S60 T6 AWD,18,26
2011 Volvo S80 3.2,19,27
2010 Volvo S80 V8,15,22
2010 Volvo S80 T6 AWD,16,24
2010 Volvo S80 3.2,18,27
2011 Volvo V50 T5,21,30
2010 Volvo V50 R-Design,20,26
2010 Volvo V50 2.4i,20,31
2011 Volvo XC60 T6 AWD,17,22
2011 Volvo XC60 3.2,18,25
2010 Volvo XC60 T6 AWD,16,21
2010 Volvo XC60 3.2,18,27
2011 Volvo XC70 3.2,18,25
2011 Volvo XC70 T6 AWD,17,22
2010 Volvo XC70 T6 AWD,16,21
2010 Volvo XC70 3.2,16,22
2011 Toyota 4Runner SR5,17,23
2011 Toyota 4Runner SR5 4WD,17,22
2011 Toyota 4Runner Trail,17,22
2011 Toyota 4Runner Limited,17,23
2011 Toyota 4Runner  Limited 4WD,17,22
2011 Volvo XC90 3.2,16,22
2011 Volvo XC90 V8,14,21
2010 Volvo XC90 3.2,15,22
2010 Volvo XC90 V8,13,19
2010 Volvo V70 3.2,18,27
2010 Toyota 4Runner SR5,18,23
2010 Toyota 4Runner SR5 V6,17,23
2010 Toyota 4Runner SR5 V6 4WD,17,22
2010 Toyota 4Runner Trail,17,22
2010 Toyota 4Runner Limited,17,23
2010 Toyota 4Runner Limited 4WD,17,22
2012 Audi A3 2.0 T,21,30
2010 Honda Accord EX-L V-6 Coup,17,25
2010 Honda Accord EX Coup AT,21,31
2010 Honda Accord EX-L Coup,22,31
2010 Honda Accord EX-L Coup AT,21,31
2010 Honda Accord EX-L V-6 Coup AT,19,28
2010 Honda Accord EX Coup,22,31
2010 Honda Accord LX-S Coup AT,21,31
2010 Honda Accord LX-S Coup,22,31
2011 Nissan 370Z Roadster,18,25
2011 Nissan 370Z Roadster AT,18,25
2011 Nissan 370Z Touring Roadster,18,25
2011 Nissan 370Z Touring Roadster AT,18,25
2010 Nissan 370Z Touring Roadster,18,25
2010 Nissan 370Z Roadster,18,25
2010 Nissan 370Z Roadster AT,18,25
2010 Nissan 370Z Touring Roadster AT,18,25
2011 Audi A3 2.0 T,21,30
2011 Nissan 370Z Coupe,18,26
2011 Nissan 370Z Touring Coupe,18,26
2011 Nissan 370Z Touring Coupe AT,19,26
2010 Audi A3 2.0 T,21,30
2010 Nissan 370Z Touring Coupe AT,19,26
2010 Nissan 370Z Coupe,18,26
2010 Nissan 370Z Touring Coupe,18,26
2010 Nissan 370Z Coupe AT,19,26
2012 Audi A4 Sedan 2.0 T Quattro,21,31
2012 Audi A4 Sedan 2.0 T Quattro AT,21,29
2011 Audi A4 Sedan 2.0 T Quattro,21,31
2011 Audi A4 Sedan 2.0 T Quattro AT,21,29
2012 Ford Fiesta S Sedan,29,38
2012 Ford Fiesta SE Sedan,29,38
2012 Ford Fiesta SEL Sedan,29,38
2011 Ford Fiesta Sedan S,38,37
2011 Ford Fiesta Sedan SE,28,37
2011 Ford Fiesta Sedan SEL,28,37
2011 Volvo C30 R-Design AT,21,30
2011 Volvo C30 R-Design,21,29
2010 Volvo C30 R-Design AT,21,30
2010 Volvo C30 R-Design,21,29
2010 Audi A4 Sedan 2.0 T Quattro AT,21,27
2010 Audi A4 Sedan 2.0 T Quattro,22,30
2010 Volvo S40 2.4i AT,21,29
2010 Volvo S40 R-Design AT AWD,20,27
2012 Audi A4 Avant 2.0 T,21,29
2011 Audi A4 Avant 2.0 T,21,29
2010 Audi A4 Avant 2.0 T,23,30
2011 Honda Accord EX Coup,23,32
2011 Honda Accord LX-S Coup AT,22,33
2011 Honda Accord EX-L V-6 Coup,17,26
2011 Honda Accord LX-S Coup,23,32
2011 Honda Accord EX-L V-6 Coup AT,19,29
2011 Honda Accord EX Coup AT,22,33
2011 Honda Accord EX-L Coup,22,33
2012 Ford Fiesta SE Hatchback,29,38
2012 Ford Fiesta SES Hatchback,29,38
2011 Ford Fiesta Hatchback SE,28,37
2011 Ford Fiesta Hatchback SES,28,37
2010 Honda Accord LX Sedan,22,31
2010 Honda Accord LX Sedan AT,21,31
2010 Honda Accord LX-P Sedan,22,31
2010 Honda Accord LX-P Sedan AT,21,31
2010 Honda Accord EX Sedan,22,31
2010 Honda Accord EX Sedan AT,21,31
2010 Honda Accord EX-L Sedan,22,31
2010 Honda Accord EX-L Sedan AT,21,31
2010 Honda Accord EX V-6 Sedan,19,29
2011 Toyota Avalon,20,29
2011 Toyota Avalon Limited,20,29
2009 Nissan 370Z Coupe AT,18,26
2009 Nissan 370Z Touring Coupe AT,18,26
2009 Nissan 370Z Touring Coupe,18,26
2009 Nissan 370Z Coupe,18,26
2010 Toyota Avalon XL,19,28
2010 Toyota Avalon XLS,19,28
2010 Toyota Avalon Limited,19,28
2011 Toyota Camry,22,33
2011 Toyota Camry AT,22,32
2011 Toyota Camry LE,22,33
2011 Toyota Camry LE AT,22,32
2011 Toyota Camry LE V6,20,29
2011 Toyota Camry SE,22,33
2011 Toyota Camry SE AT,22,32
2011 Toyota Camry SE V6,20,29
2011 Toyota Camry XLE,22,32
2011 Toyota Camry XLE V6,20,29
2012 Ford Focus S Sedan,26,36
2012 Ford Focus SE Sedan,26,36
2011 Ford Focus Sedan S,25,35
2011 Ford Focus Sedan S AT,25,34
2011 Ford Focus Sedan SE,25,35
2011 Ford Focus Sedan SE AT,25,34
2011 Ford Focus Sedan SES,25,35
2011 Ford Focus Sedan SES AT,25,34
2011 Ford Focus Sedan SEL,25,34
2010 Ford Focus Sedan S,24,35
2010 Ford Focus Sedan S AT,24,34
2010 Ford Focus Sedan SE,24,35
2010 Ford Focus Sedan SE AT,24,34
2010 Ford Focus Sedan SES,24,35
2010 Ford Focus Sedan SES AT,24,34
2010 Ford Focus Sedan SEL,24,35
2010 Ford Focus Sedan SEL AT,24,34
2011 Nissan Altima Coupe 2.5 S,23,31
2011 Nissan Altima Coupe 3.5 SR,18,27
2012 Volvo S80 T6 AWD,18,26
2012 Volvo S80 3.2,20,29
2012 Volvo XC60 T6 AWD R-Design,17,23
2012 Volvo XC60 3.2,19,25
2012 Volvo XC60 T6 AWD,17,23
2012 Volvo XC70 T6 AWD,17,23
2012 Volvo XC70 3.2,19,25
2012 Volvo XC90 3.2,16,23
2012 Volvo XC90 3.2 R-Design,16,23
2010 Nissan Altima Coupe 2.5 S,23,32
2010 Nissan Altima Coupe 3.5 SR,18,27
2010 Toyota Camry,22,33
2010 Toyota Camry  AT,22,32
2010 Toyota Camry LE,22,33
2010 Toyota Camry LE AT,22,32
2010 Toyota Camry LE V6,19,28
2010 Toyota Camry SE,22,33
2010 Toyota Camry SE AT,22,32
2010 Toyota Camry SE V6,19,28
2010 Toyota Camry XLE,22,32
2010 Toyota Camry XLE V6,19,28
2010 Volvo XC90  R-Design,15,22
2011 Volvo XC90 R-Design,16,22
2010 Volvo XC60 T6 R-Design,16,21
2011 Volvo XC60 T6 R-Design,17,22
2011 Volvo XC60 3.2 R-Design,18,25
2010 Volvo V50 R-Design AT,20,26
2011 Volvo V50 R-Design,21,30
2012 Bentley Continental GT,8,14
2010 Bentley Continental GT,10,17
2010 Bentley Continental GT Speed,10,17
2010 Ford Focus Coupe SE,24,35
2010 Ford Focus Coupe SE AT,24,34
2010 Ford Focus Coupe SES,24,35
2010 Ford Focus Coupe SES AT,24,34
2011 Bentley Continental GTC Speed,11,18
2010 Bentley Continental GTC Speed,10,17
2010 Bentley Continental GTC,10,17
2010 Bentley Azure T,9,15
2011 Toyota Corolla,28,35
2011 Toyota Corolla AT,26,34
2011 Toyota Corolla LE,26,34
2011 Toyota Corolla S,28,35
2011 Toyota Corolla S AT,26,34
2010 Rolls-Royce Ghost,13,20
2011 Audi A5 Cabriolet 2.0 T Quattro,21,29
2010 Audi A5 Cabriolet 2.0 T Quattro,20,26
2010 Rolls-Royce Phantom Sedan,11,18
2010 Rolls-Royce Phantom Sedan EWB,11,18
2012 Audi A5 Coupe 2.0 T,21,31
2012 Audi A5 Coupe 2.0 T AT,21,29
2010 Rolls-Royce Phantom Coupe,11,18
2011 Audi A5 Coupe 2.0 T AT,21,29
2011 Audi A5 Coupe 2.0 T,21,31
2010 Audi A5 Coupe 2.0 T,22,30
2010 Audi A5 Coupe 3.2,18,27
2010 Audi A5 Coupe 2.0 T AT,21,27
2010 Rolls-Royce Phantom Drophead Coupe,11,18
2011 Rolls-Royce Ghost,13,20
2010 Honda Accord EX-L V-6 Sedan,19,29
2011 Rolls-Royce Phantom Sedan,11,18
2011 Honda Accord LX Sedan,23,33
2011 Honda Accord LX Sedan AT,23,34
2011 Honda Accord LX-P Sedan,23,34
2011 Honda Accord SE Sedan,23,34
2011 Honda Accord EX Sedan,23,33
2011 Honda Accord EX Sedan AT,23,34
2011 Honda Accord EX V-6 Sedan,20,30
2011 Honda Accord EX-L Sedan,23,34
2011 Honda Accord EX-L V-6 Sedan,20,30
2011 Rolls-Royce Phantom Sedan EWB,11,18
2011 Rolls-Royce Phantom Coupe,11,18
2011 Rolls-Royce Phantom Drophead Coupe,11,18
2011 Volkswagen Jetta SEL PZEV,23,33
2011 Volkswagen Jetta SE PZEV AT,24,31
2011 Volkswagen Jetta AT,23,29
2011 Volkswagen Jetta S AT,23,29
2011 Volkswagen Jetta SE AT,24,31
2011 Volkswagen Jetta SEL PZEV AT,24,31
2011 Volkswagen Jetta,24,34
2011 Volkswagen Jetta SEL AT,24,31
2011 Volkswagen Jetta SE,23,33
2011 Volkswagen Jetta SEL,23,33
2011 Volkswagen Jetta SE PZEV,23,33
2011 Volkswagen Jetta S,24,34
2010 Toyota Corolla,26,35
2010 Toyota Corolla AT,26,34
2010 Toyota Corolla S,26,35
2010 Toyota Corolla S AT,26,34
2010 Toyota Corolla LE,26,34
2010 Toyota Corolla XLE,26,34
2010 Toyota Corolla XRS,22,30
2010 Toyota Corolla XRS AT,22,30
