id,car_id,transmission
1,2009 Audi A3 3.2,Automatic transmission
2,2009 Audi A3 2.0 T AT,Automatic transmission
3,2009 Audi A3 2.0 T,Manual transmission
4,2009 Audi A3 2.0 T Quattro,Automatic transmission
6,2009 Audi A5 3.2,Manual transmission
7,2009 Audi A5 3.2 AT,Automatic transmission
8,2009 Audi Q7 4.2,Automatic transmission
9,2009 Audi Q7 3.6,Automatic transmission
10,2009 Audi A4 Sedan 2.0 T Quattro,Manual transmission
11,2009 Audi A4 Sedan 2.0 T Quattro AT,Automatic transmission
12,2009 Audi A4 Sedan 3.2,Automatic transmission
13,2012 Acura TL,Automatic transmission
14,2012 Acura TL SH-AWD,Automatic transmission
15,2010 BMW X5 M SUV,Automatic transmission
16,2011 BMW X5 M SUV,Automatic transmission
17,2010 BMW X6 M,Automatic transmission
18,2011 BMW X6 M,Automatic transmission
19,2012 Chevrolet Colorado Work Truck,Manual transmission
20,2012 Chevrolet Colorado Extended Cab Work Truck,Manual transmission
21,2012 Chevrolet Colorado Crew Cab 1LT,Automatic transmission
22,2011 Chevrolet Colorado Work Truck,Manual transmission
23,2011 Chevrolet Colorado Extended Cab Work Truck,Manual transmission
24,2011 Chevrolet Colorado Crew Cab 1LT,Automatic transmission
25,2010 Chevrolet Colorado Work Truck,Manual transmission
26,2010 Chevrolet Colorado Extended Cab Work Truck,Manual transmission
27,2010 Chevrolet Colorado Crew Cab LT1,Automatic transmission
28,2012 Chevrolet Express LS 1500,Automatic transmission
29,2012 Chevrolet Express LS 1500 AWD,Automatic transmission
30,2011 Chevrolet Express LS 1500,Automatic transmission
31,2011 Chevrolet Express LS 1500 AWD,Automatic transmission
32,2011 Chevrolet Express LS 2500,Automatic transmission
33,2011 Chevrolet Express LS 2500 6.0L,Automatic transmission
34,2010 Chevrolet Express LS 1500,Automatic transmission
35,2010 Chevrolet Express LS 1500 AWD,Automatic transmission
36,2011 Chevrolet Silverado 1500 Work Truck,Automatic transmission
37,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Automatic transmission
38,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Automatic transmission
39,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Automatic transmission
40,2010 Chevrolet Silverado 1500 Work Truck,Automatic transmission
41,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Automatic transmission
42,2011 Nissan 370Z NISMO,Manual transmission
43,2010 Nissan 370Z NISMO,Manual transmission
44,2009 Nissan 370Z NISMO,Manual transmission
45,2011 Volvo C30 T5,Manual transmission
46,2011 Volvo C30 T5 AT,Automatic transmission
47,2010 Volvo C30 T5 AT,Automatic transmission
48,2010 Volvo C30 T5,Manual transmission
49,2010 Bentley Brooklands,Automatic transmission
50,2012 Bentley Continental Supersports Convertible,Automatic transmission
51,2012 Bentley Continental Supersports Coupe,Automatic transmission
52,2011 Bentley Continental Supersports Convertible,Automatic transmission
53,2010 Bentley Continental Supersports,Automatic transmission
54,2012 Bentley Continental Flying Spur,Automatic transmission
55,2012 Bentley Continental Flying Spur Speed,Automatic transmission
56,2011 Bentley Continental Flying Spur Speed,Automatic transmission
57,2010 Bentley Continental Flying Spur Speed,Automatic transmission
58,2010 Bentley Continental Flying Spur,Automatic transmission
59,2011 Volvo C70 T5,Automatic transmission
60,2010 Volvo C70 T5,Manual transmission
61,2010 Volvo C70 T5 AT,Automatic transmission
62,2010 Volvo S40 2.4i,Manual transmission
63,2010 Volvo S40 R-Design,Automatic transmission
64,2011 Volvo S40 T5,Automatic transmission
65,2010 Volvo S40 R-Design AWD,Manual transmission
66,2012 Volvo S60 T5,Automatic transmission
67,2012 Volvo S60 T6 AWD,Automatic transmission
68,2012 Volvo S60 R-Design,Automatic transmission
69,2011 Volvo S60 T6 AWD,Automatic transmission
70,2011 Volvo S80 3.2,Automatic transmission
71,2010 Volvo S80 V8,Automatic transmission
72,2010 Volvo S80 T6 AWD,Automatic transmission
73,2010 Volvo S80 3.2,Automatic transmission
74,2011 Volvo V50 T5,Automatic transmission
75,2010 Volvo V50 R-Design,Manual transmission
76,2010 Volvo V50 2.4i,Automatic transmission
77,2011 Volvo XC60 T6 AWD,Automatic transmission
78,2011 Volvo XC60 3.2,Automatic transmission
79,2010 Volvo XC60 T6 AWD,Automatic transmission
80,2010 Volvo XC60 3.2,Automatic transmission
81,2011 Volvo XC70 3.2,Automatic transmission
82,2011 Volvo XC70 T6 AWD,Automatic transmission
83,2010 Volvo XC70 T6 AWD,Automatic transmission
84,2010 Volvo XC70 3.2,Automatic transmission
85,2011 Toyota 4Runner SR5,Automatic transmission
86,2011 Toyota 4Runner SR5 4WD,Automatic transmission
87,2011 Toyota 4Runner Trail,Automatic transmission
88,2011 Toyota 4Runner Limited,Automatic transmission
89,2011 Toyota 4Runner  Limited 4WD,Automatic transmission
90,2011 Volvo XC90 3.2,Automatic transmission
91,2011 Volvo XC90 V8,Automatic transmission
92,2010 Volvo XC90 3.2,Automatic transmission
93,2010 Volvo XC90 V8,Automatic transmission
94,2010 Volvo V70 3.2,Automatic transmission
95,2010 Toyota 4Runner SR5,Automatic transmission
96,2010 Toyota 4Runner SR5 V6,Automatic transmission
97,2010 Toyota 4Runner SR5 V6 4WD,Automatic transmission
98,2010 Toyota 4Runner Trail,Automatic transmission
99,2010 Toyota 4Runner Limited,Automatic transmission
